"행정구역별","산업별","대표자연령대",2012,2013,2014,2015,2016,2017,2018,2019,2020
"대구","보건업 및 사회복지 서비스업(86~87)","40~49세",2582,2722,2713,2423,2561,2646,2502,2253,2084
"대구","보건업 및 사회복지 서비스업(86~87)","50~59세",1642,1953,2093,2263,2472,2517,2797,3023,2937
"대구","보건업 및 사회복지 서비스업(86~87)","60세 이상",591,630,724,848,895,920,1114,1354,1488
"대구","예술, 스포츠 및 여가관련 서비스업(90~91)","계",5527,5469,5380,5112,5592,5892,5971,6010,5846
"대구","예술, 스포츠 및 여가관련 서비스업(90~91)","29세 이하",142,131,162,121,156,182,180,165,217
"대구","예술, 스포츠 및 여가관련 서비스업(90~91)","30~39세",1011,966,891,818,966,1048,1052,983,988
"대구","예술, 스포츠 및 여가관련 서비스업(90~91)","40~49세",1852,1667,1606,1470,1610,1615,1591,1658,1557
"대구","예술, 스포츠 및 여가관련 서비스업(90~91)","50~59세",1921,2125,2074,1922,2059,2055,2106,2027,1889
"대구","예술, 스포츠 및 여가관련 서비스업(90~91)","60세 이상",601,580,647,781,801,992,1042,1177,1195
"대구","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",20585,20680,20545,20504,20757,21323,21604,21599,21814
"대구","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","29세 이하",316,280,343,349,454,508,571,591,784
"대구","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","30~39세",2925,2331,2258,2294,2520,2536,2687,2405,2603
"대구","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","40~49세",6085,6364,6051,5647,5660,5611,5699,7371,6661
"대구","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","50~59세",7273,7524,7267,7078,6991,7187,7061,7249,7093
"대구","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","60세 이상",3986,4181,4626,5136,5132,5481,5586,3983,4673
"인천","전체 산업","계",177196,177988,183593,186011,191566,196705,202493,206244,216249
"인천","전체 산업","29세 이하",3748,3456,4243,4401,4949,5582,5595,5761,7746
"인천","전체 산업","30~39세",24489,20771,21454,22977,24782,25762,27227,29093,27727
"인천","전체 산업","40~49세",56274,55150,54076,51583,52702,53007,52769,53411,52817
"인천","전체 산업","50~59세",66492,71042,72106,71276,71818,72410,72690,72929,72402
"인천","전체 산업","60세 이상",26193,27569,31714,35774,37315,39944,44212,45050,55557
"인천","농업, 임업 및 어업(01~03)","계",19,22,30,27,27,33,36,47,66
"인천","농업, 임업 및 어업(01~03)","29세 이하",-,-,-,-,-,-,-,1,2
"인천","농업, 임업 및 어업(01~03)","30~39세",-,-,-,-,-,-,-,2,7
"인천","농업, 임업 및 어업(01~03)","40~49세",3,2,4,7,4,4,6,8,13
"인천","농업, 임업 및 어업(01~03)","50~59세",10,14,15,12,16,21,16,20,23
"인천","농업, 임업 및 어업(01~03)","60세 이상",6,6,11,8,7,8,14,16,21
"인천","광업(05~08)","계",30,32,38,32,34,35,32,31,31
"인천","광업(05~08)","29세 이하",-,-,-,-,-,-,-,-,1
"인천","광업(05~08)","30~39세",2,1,1,-,-,-,-,-,-
"인천","광업(05~08)","40~49세",4,4,6,5,6,9,4,8,3
"인천","광업(05~08)","50~59세",13,15,15,8,11,11,11,10,13
"인천","광업(05~08)","60세 이상",11,12,16,19,17,15,17,13,14
"인천","제조업(10~34)","계",22539,22566,23667,24762,24738,24826,25235,25190,26123
"인천","제조업(10~34)","29세 이하",207,196,275,323,352,386,391,395,561
"인천","제조업(10~34)","30~39세",1951,1494,1739,1766,1866,1903,1741,1671,1937
"인천","제조업(10~34)","40~49세",7686,6629,6666,6699,6735,6692,6174,5612,5449
"인천","제조업(10~34)","50~59세",9577,10978,11161,11477,11420,11254,11453,11048,10392
"인천","제조업(10~34)","60세 이상",3118,3269,3826,4497,4365,4591,5476,6464,7784
"인천","전기, 가스, 증기 및 공기조절 공급업(35)","계",54,56,58,58,57,63,67,71,76
"인천","전기, 가스, 증기 및 공기조절 공급업(35)","29세 이하",-,-,-,-,-,-,-,-,-
"인천","전기, 가스, 증기 및 공기조절 공급업(35)","30~39세",2,3,2,1,-,2,3,2,2
"인천","전기, 가스, 증기 및 공기조절 공급업(35)","40~49세",9,10,9,12,9,9,10,16,9
"인천","전기, 가스, 증기 및 공기조절 공급업(35)","50~59세",33,35,41,37,37,39,40,42,39
"인천","전기, 가스, 증기 및 공기조절 공급업(35)","60세 이상",10,8,6,8,11,13,14,11,26
"인천","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",390,402,444,452,449,452,495,516,529
"인천","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","29세 이하",5,6,7,5,7,8,7,7,11
"인천","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~39세",41,28,41,43,45,38,43,45,42
"인천","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","40~49세",125,105,123,118,120,124,122,128,115
"인천","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~59세",166,205,202,197,198,204,230,221,234
"인천","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","60세 이상",53,58,71,89,79,78,93,115,127
"인천","건설업(41~42)","계",4885,4911,5193,5346,5561,5859,6278,6463,7205
"인천","건설업(41~42)","29세 이하",53,45,55,57,89,103,141,139,214
"인천","건설업(41~42)","30~39세",451,339,377,404,440,500,478,479,595
"인천","건설업(41~42)","40~49세",1877,1777,1798,1668,1743,1847,1817,1681,1803
"인천","건설업(41~42)","50~59세",1994,2186,2289,2385,2453,2542,2723,2686,2912
"인천","건설업(41~42)","60세 이상",510,564,674,832,836,867,1119,1478,1681
"인천","도매 및 소매업(45~47)","계",42278,42640,44334,45181,45898,46705,47008,46874,49191
"인천","도매 및 소매업(45~47)","29세 이하",1143,1131,1383,1369,1492,1617,1507,1634,2075
"인천","도매 및 소매업(45~47)","30~39세",7297,5833,6517,6828,7415,7447,7163,6684,7368
"인천","도매 및 소매업(45~47)","40~49세",14115,14554,14440,13797,14066,14080,14060,13468,13354
"인천","도매 및 소매업(45~47)","50~59세",13495,14828,15090,15481,15449,15456,15501,15185,15729
"인천","도매 및 소매업(45~47)","60세 이상",6228,6294,6904,7706,7476,8105,8777,9903,10665
"인천","운수 및 창고업(49~52)","계",23400,22755,23081,23238,24271,24187,26111,26774,27777
"인천","운수 및 창고업(49~52)","29세 이하",146,147,147,168,139,128,487,310,335
"인천","운수 및 창고업(49~52)","30~39세",1211,2535,1187,1487,1276,1200,3090,6200,2054
"인천","운수 및 창고업(49~52)","40~49세",4392,5287,4546,4118,3819,3703,3388,4309,4307
"인천","운수 및 창고업(49~52)","50~59세",12347,8678,9683,9634,9304,9238,8491,9236,8140
"인천","운수 및 창고업(49~52)","60세 이상",5304,6108,7518,7831,9733,9918,10655,6719,12941
"인천","숙박 및 음식점업(55~56)","계",31708,32198,33116,33295,34301,35316,36043,37321,40245
"인천","숙박 및 음식점업(55~56)","29세 이하",1243,1060,1339,1428,1604,1860,1730,1832,2572
"인천","숙박 및 음식점업(55~56)","30~39세",5068,3669,4512,5232,5659,6026,6211,6215,7029
"인천","숙박 및 음식점업(55~56)","40~49세",9996,8643,8634,8717,9033,9115,9181,9561,9763
"인천","숙박 및 음식점업(55~56)","50~59세",11319,14806,14000,12398,12533,12236,12230,11706,12326
"인천","숙박 및 음식점업(55~56)","60세 이상",4082,4020,4631,5520,5472,6079,6691,8007,8555
"인천","정보통신업(58~63)","계",658,676,801,854,861,947,1023,1089,1260
"인천","정보통신업(58~63)","29세 이하",26,23,21,28,24,30,41,55,101
"인천","정보통신업(58~63)","30~39세",137,95,167,168,180,194,179,188,244
"인천","정보통신업(58~63)","40~49세",216,269,294,321,315,348,395,388,435
"인천","정보통신업(58~63)","50~59세",222,232,243,254,269,284,299,335,351
"인천","정보통신업(58~63)","60세 이상",57,57,76,83,73,91,109,123,129
"인천","금융 및 보험업(64~66)","계",1644,1652,1651,1685,1720,1770,1802,1771,1723
"인천","금융 및 보험업(64~66)","29세 이하",13,13,17,16,22,30,28,20,25
"인천","금융 및 보험업(64~66)","30~39세",137,118,153,127,147,144,146,137,103
"인천","금융 및 보험업(64~66)","40~49세",604,560,525,462,442,475,516,495,397
"인천","금융 및 보험업(64~66)","50~59세",661,739,742,845,878,908,877,906,852
"인천","금융 및 보험업(64~66)","60세 이상",229,222,214,235,231,213,235,213,346
"인천","부동산업(68)","계",6656,6503,6676,6662,7274,7729,8175,8523,9229
"인천","부동산업(68)","29세 이하",60,53,61,54,60,68,77,80,115
"인천","부동산업(68)","30~39세",529,369,370,377,439,455,558,492,639
"인천","부동산업(68)","40~49세",2415,1977,1993,1832,1968,1851,1862,1937,1916
"인천","부동산업(68)","50~59세",2492,2908,2901,2849,3138,3397,3527,3603,3739
"인천","부동산업(68)","60세 이상",1160,1196,1351,1550,1669,1958,2151,2411,2820
"인천","전문, 과학 및 기술 서비스업(70~73)","계",2775,2864,3113,3284,3351,3498,3840,4105,4523
"인천","전문, 과학 및 기술 서비스업(70~73)","29세 이하",24,25,57,59,59,62,74,86,175
"인천","전문, 과학 및 기술 서비스업(70~73)","30~39세",450,347,403,449,519,558,629,579,714
"인천","전문, 과학 및 기술 서비스업(70~73)","40~49세",963,1014,1081,1108,1103,1123,1163,1231,1309
"인천","전문, 과학 및 기술 서비스업(70~73)","50~59세",936,1044,1077,1097,1125,1187,1243,1303,1335
"인천","전문, 과학 및 기술 서비스업(70~73)","60세 이상",402,434,495,571,545,568,731,906,990
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",2389,2505,2724,2807,2788,2919,3029,3142,3466
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","29세 이하",51,43,62,60,77,84,72,85,145
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","30~39세",361,305,373,395,391,410,381,401,533
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","40~49세",792,775,807,790,767,805,859,850,901
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","50~59세",811,1006,1045,1008,1023,1035,1075,1113,1122
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","60세 이상",374,376,437,554,530,585,642,693,765
"인천","공공행정, 국방 및 사회보장 행정(84)","계",445,449,448,473,479,483,485,486,488
"인천","공공행정, 국방 및 사회보장 행정(84)","29세 이하",-,-,-,-,-,-,-,-,-
"인천","공공행정, 국방 및 사회보장 행정(84)","30~39세",2,1,4,3,1,-,-,1,2
"인천","공공행정, 국방 및 사회보장 행정(84)","40~49세",80,63,69,51,49,40,51,61,57
"인천","공공행정, 국방 및 사회보장 행정(84)","50~59세",337,355,346,378,391,406,407,412,402
"인천","공공행정, 국방 및 사회보장 행정(84)","60세 이상",26,30,29,41,38,37,27,12,27
"인천","교육 서비스업(85)","계",7064,7168,7308,7378,7708,8067,8321,8553,8510
"인천","교육 서비스업(85)","29세 이하",239,217,262,256,298,324,250,262,318
"인천","교육 서비스업(85)","30~39세",2008,1612,1658,1811,1969,2067,2047,1824,1904
"인천","교육 서비스업(85)","40~49세",2623,3044,2980,2656,2769,2905,3127,3197,3012
"인천","교육 서비스업(85)","50~59세",1702,1708,1782,1941,1992,2101,2181,2479,2370
"인천","교육 서비스업(85)","60세 이상",492,587,626,714,680,670,716,791,906
"인천","보건업 및 사회복지 서비스업(86~87)","계",5734,6082,6505,6499,7005,7333,7384,7586,7541
"인천","보건업 및 사회복지 서비스업(86~87)","29세 이하",20,23,30,28,31,42,31,39,42
"인천","보건업 및 사회복지 서비스업(86~87)","30~39세",1065,869,911,846,932,1047,673,625,653
"인천","보건업 및 사회복지 서비스업(86~87)","40~49세",2535,2718,2698,2448,2634,2730,2672,2452,2274
"인천","보건업 및 사회복지 서비스업(86~87)","50~59세",1576,1913,2208,2378,2544,2604,2912,3091,3046
"인천","보건업 및 사회복지 서비스업(86~87)","60세 이상",538,559,658,799,864,910,1096,1379,1526
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)","계",5922,5849,5707,5421,6052,6684,6882,6968,7044
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)","29세 이하",193,161,182,182,235,276,246,242,277
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)","30~39세",1111,1020,969,887,1062,1216,1233,1139,1220
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)","40~49세",1994,1706,1630,1525,1688,1773,1847,1832,1808
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)","50~59세",2025,2364,2255,2049,2251,2409,2451,2357,2307
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)","60세 이상",599,598,671,778,816,1010,1105,1398,1432
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",18606,18658,18699,18557,18992,19799,20247,20734,21222
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","29세 이하",325,313,345,368,460,564,513,574,777
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","30~39세",2666,2133,2070,2153,2441,2555,2652,2409,2681
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","40~49세",5845,6013,5773,5249,5432,5374,5515,6177,5892
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","50~59세",6776,7028,7011,6848,6786,7078,7023,7176,7070
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","60세 이상",2994,3171,3500,3939,3873,4228,4544,4398,4802
"광주","전체 산업","계",105931,108808,111285,113424,116046,118409,119617,123706,125295
"광주","전체 산업","29세 이하",2729,2431,2915,2887,3324,3666,3707,4161,5403
"광주","전체 산업","30~39세",17975,14231,15184,16343,17615,17071,16591,16478,16960
"광주","전체 산업","40~49세",34696,36458,36393,35896,36235,36739,36343,36577,34870
"광주","전체 산업","50~59세",35766,40354,38968,38293,38341,39060,39565,41509,40875
"광주","전체 산업","60세 이상",14765,15334,17825,20005,20531,21873,23411,24981,27187
"광주","농업, 임업 및 어업(01~03)","계",25,16,18,21,22,25,34,27,50
"광주","농업, 임업 및 어업(01~03)","29세 이하",-,-,-,-,-,-,-,-,2
"광주","농업, 임업 및 어업(01~03)","30~39세",2,1,1,1,-,1,3,1,5
"광주","농업, 임업 및 어업(01~03)","40~49세",1,2,4,7,6,7,9,9,13
"광주","농업, 임업 및 어업(01~03)","50~59세",18,10,10,10,11,14,15,14,21
"광주","농업, 임업 및 어업(01~03)","60세 이상",4,3,3,3,5,3,7,3,9
"광주","광업(05~08)","계",10,12,14,13,9,7,7,8,7
"광주","광업(05~08)","29세 이하",-,-,-,1,1,1,-,1,-
"광주","광업(05~08)","30~39세",2,1,1,1,1,1,1,1,1
"광주","광업(05~08)","40~49세",3,4,4,4,-,-,-,2,-
"광주","광업(05~08)","50~59세",5,6,8,6,3,4,4,3,4
"광주","광업(05~08)","60세 이상",-,1,1,1,4,1,2,1,2
"광주","제조업(10~34)","계",7902,8092,8547,8770,8870,8983,9105,9266,9358
"광주","제조업(10~34)","29세 이하",86,86,109,115,136,122,168,164,240
"광주","제조업(10~34)","30~39세",905,678,787,808,844,835,734,718,817
"광주","제조업(10~34)","40~49세",2797,2513,2691,2710,2779,2806,2678,2568,2438
"광주","제조업(10~34)","50~59세",2937,3571,3589,3619,3606,3643,3793,3883,3653
"광주","제조업(10~34)","60세 이상",1177,1244,1371,1518,1505,1577,1732,1933,2210
"광주","전기, 가스, 증기 및 공기조절 공급업(35)","계",35,37,51,55,75,114,206,324,340
"광주","전기, 가스, 증기 및 공기조절 공급업(35)","29세 이하",-,-,-,1,1,2,4,9,12
"광주","전기, 가스, 증기 및 공기조절 공급업(35)","30~39세",4,4,5,4,6,10,24,28,30
"광주","전기, 가스, 증기 및 공기조절 공급업(35)","40~49세",7,5,10,14,20,27,54,62,68
"광주","전기, 가스, 증기 및 공기조절 공급업(35)","50~59세",13,15,20,27,29,49,67,126,119
"광주","전기, 가스, 증기 및 공기조절 공급업(35)","60세 이상",11,13,16,9,19,26,57,99,111
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",153,155,180,176,163,161,161,176,183
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","29세 이하",2,2,1,2,4,4,3,2,2
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~39세",11,6,13,9,10,7,12,8,14
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","40~49세",53,47,63,56,42,45,39,46,42
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","50~59세",65,74,76,80,84,82,79,89,90
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","60세 이상",22,26,27,29,23,23,28,31,35
"광주","건설업(41~42)","계",3877,4214,4749,4898,4935,5127,5353,5463,5865
"광주","건설업(41~42)","29세 이하",48,47,62,61,60,76,94,105,145
"광주","건설업(41~42)","30~39세",483,355,463,516,519,530,505,475,515
"광주","건설업(41~42)","40~49세",1666,1787,1948,1885,1924,1977,1939,1758,1794
"광주","건설업(41~42)","50~59세",1319,1649,1807,1871,1867,1937,2091,2264,2404
"광주","건설업(41~42)","60세 이상",361,376,469,565,565,607,724,861,1007
"광주","도매 및 소매업(45~47)","계",28932,29687,30620,31179,31542,31636,31616,31799,32413
"광주","도매 및 소매업(45~47)","29세 이하",859,746,871,882,987,1026,1059,1190,1431
"광주","도매 및 소매업(45~47)","30~39세",5592,4485,4762,4990,5250,5069,4693,4377,4617
"광주","도매 및 소매업(45~47)","40~49세",9916,10819,10924,10516,10765,10423,10321,9847,9446
"광주","도매 및 소매업(45~47)","50~59세",8314,9366,9428,9713,9628,9821,9981,10246,10376
"광주","도매 및 소매업(45~47)","60세 이상",4251,4271,4635,5078,4912,5297,5562,6139,6543
"광주","운수 및 창고업(49~52)","계",9556,10109,9718,10476,10513,10056,9774,11308,10465
"광주","운수 및 창고업(49~52)","29세 이하",30,31,51,83,72,68,85,144,157
"광주","운수 및 창고업(49~52)","30~39세",341,366,519,801,1118,576,687,1315,716
"광주","운수 및 창고업(49~52)","40~49세",1111,2281,1680,1979,1440,1759,1429,1878,1699
"광주","운수 및 창고업(49~52)","50~59세",6423,5359,4261,3991,3670,3636,3096,3437,3066
"광주","운수 및 창고업(49~52)","60세 이상",1651,2072,3207,3622,4213,4017,4477,4534,4827
"광주","숙박 및 음식점업(55~56)","계",17759,18032,18348,18816,19317,19896,20044,20742,21965
"광주","숙박 및 음식점업(55~56)","29세 이하",887,743,958,940,1074,1237,1234,1378,1929
"광주","숙박 및 음식점업(55~56)","30~39세",3457,2491,2862,3483,3717,3885,3864,3898,4307
"광주","숙박 및 음식점업(55~56)","40~49세",5970,5104,5303,5731,5880,5975,5799,5699,5780
"광주","숙박 및 음식점업(55~56)","50~59세",5493,7793,7118,6215,6205,6065,6289,6345,6437
"광주","숙박 및 음식점업(55~56)","60세 이상",1952,1901,2107,2447,2441,2734,2858,3422,3512
"광주","정보통신업(58~63)","계",785,805,803,832,815,862,878,909,938
"광주","정보통신업(58~63)","29세 이하",23,21,34,18,23,30,24,45,49
"광주","정보통신업(58~63)","30~39세",185,137,137,145,148,149,139,126,131
"광주","정보통신업(58~63)","40~49세",277,354,324,309,294,310,347,321,314
"광주","정보통신업(58~63)","50~59세",234,241,239,271,267,283,264,292,297
"광주","정보통신업(58~63)","60세 이상",66,52,69,89,83,90,104,125,147
"광주","금융 및 보험업(64~66)","계",1486,1458,1484,1460,1499,1591,1557,1564,1514
"광주","금융 및 보험업(64~66)","29세 이하",15,19,20,12,8,9,13,16,17
"광주","금융 및 보험업(64~66)","30~39세",172,154,143,100,120,126,119,122,110
"광주","금융 및 보험업(64~66)","40~49세",588,551,540,415,436,490,501,478,398
"광주","금융 및 보험업(64~66)","50~59세",514,542,568,698,718,746,683,745,656
"광주","금융 및 보험업(64~66)","60세 이상",197,192,213,235,217,220,241,203,333
"광주","부동산업(68)","계",3114,3283,3598,3844,4283,4680,5149,5575,5825
"광주","부동산업(68)","29세 이하",10,12,20,19,37,42,52,56,71
"광주","부동산업(68)","30~39세",265,195,232,248,271,282,358,334,389
"광주","부동산업(68)","40~49세",936,905,1044,1151,1298,1359,1530,1726,1590
"광주","부동산업(68)","50~59세",1012,1269,1302,1352,1534,1700,1815,1978,1994
"광주","부동산업(68)","60세 이상",891,902,1000,1074,1143,1297,1394,1481,1781
"광주","전문, 과학 및 기술 서비스업(70~73)","계",2404,2543,2804,2978,3016,3071,3238,3490,3652
"광주","전문, 과학 및 기술 서비스업(70~73)","29세 이하",24,28,32,39,42,48,59,75,102
"광주","전문, 과학 및 기술 서비스업(70~73)","30~39세",411,330,397,433,443,421,472,457,508
"광주","전문, 과학 및 기술 서비스업(70~73)","40~49세",873,979,1063,1101,1078,1101,1095,1168,1181
"광주","전문, 과학 및 기술 서비스업(70~73)","50~59세",689,787,850,880,930,948,964,1049,1073
"광주","전문, 과학 및 기술 서비스업(70~73)","60세 이상",407,419,462,525,523,553,648,741,788
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",1826,1944,2135,2095,2162,2195,2224,2319,2369
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","29세 이하",29,21,29,38,49,59,50,51,74
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","30~39세",357,318,336,300,321,295,270,252,292
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","40~49세",660,679,774,712,727,724,758,742,701
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","50~59세",548,687,720,739,756,767,777,844,852
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","60세 이상",232,239,276,306,309,350,369,430,450
"광주","공공행정, 국방 및 사회보장 행정(84)","계",257,263,262,269,269,267,264,270,271
"광주","공공행정, 국방 및 사회보장 행정(84)","29세 이하",-,-,-,-,-,-,-,-,-
"광주","공공행정, 국방 및 사회보장 행정(84)","30~39세",3,4,3,1,1,1,1,2,-
"광주","공공행정, 국방 및 사회보장 행정(84)","40~49세",30,28,29,22,18,15,31,35,26
"광주","공공행정, 국방 및 사회보장 행정(84)","50~59세",212,209,211,220,226,225,212,211,213
"광주","공공행정, 국방 및 사회보장 행정(84)","60세 이상",12,22,19,26,24,26,20,22,32
"광주","교육 서비스업(85)","계",6802,6899,6756,6603,6702,6941,6985,7042,6773
"광주","교육 서비스업(85)","29세 이하",282,263,263,235,271,317,259,248,293
"광주","교육 서비스업(85)","30~39세",2125,1693,1608,1661,1724,1697,1640,1467,1465
"광주","교육 서비스업(85)","40~49세",2631,3116,2984,2704,2729,2826,2838,2789,2568
"광주","교육 서비스업(85)","50~59세",1288,1318,1382,1446,1449,1562,1677,1959,1824
"광주","교육 서비스업(85)","60세 이상",476,509,519,557,529,539,571,579,623
"광주","보건업 및 사회복지 서비스업(86~87)","계",4053,4214,4396,4397,4680,4887,4891,5010,4911
"광주","보건업 및 사회복지 서비스업(86~87)","29세 이하",28,27,20,15,21,26,16,18,30
"광주","보건업 및 사회복지 서비스업(86~87)","30~39세",786,632,650,608,643,685,453,412,442
"광주","보건업 및 사회복지 서비스업(86~87)","40~49세",1718,1831,1800,1677,1780,1857,1824,1667,1522
"광주","보건업 및 사회복지 서비스업(86~87)","50~59세",1070,1263,1403,1471,1582,1613,1807,1937,1854
"광주","보건업 및 사회복지 서비스업(86~87)","60세 이상",451,461,523,626,654,706,791,976,1063
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)","계",3917,3895,3727,3576,3952,4188,4239,4282,4197
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)","29세 이하",168,154,172,151,186,199,151,154,194
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)","30~39세",855,783,726,659,728,783,773,728,726
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)","40~49세",1398,1220,1143,1096,1194,1173,1266,1233,1137
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)","50~59세",1117,1394,1310,1210,1370,1451,1445,1460,1419
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)","60세 이상",379,344,376,460,474,582,604,707,721
"광주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",13038,13150,13075,12966,13222,13722,13892,14132,14199
"광주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","29세 이하",238,231,273,275,352,400,436,505,655
"광주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","30~39세",2019,1598,1539,1575,1751,1718,1843,1757,1875
"광주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","40~49세",4061,4233,4065,3807,3825,3865,3885,4549,4153
"광주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","50~59세",4495,4801,4666,4474,4406,4514,4506,4627,4523
"광주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","60세 이상",2225,2287,2532,2835,2888,3225,3222,2694,2993
"대전","전체 산업","계",104609,105676,109535,111815,113228,115423,117557,119628,123728
"대전","전체 산업","29세 이하",2549,2186,2810,2847,3004,3410,3433,3636,4775
"대전","전체 산업","30~39세",16975,13454,14577,15568,15949,16205,16135,15970,16231
"대전","전체 산업","40~49세",33862,34509,34649,33870,33816,33931,33675,32709,31997
"대전","전체 산업","50~59세",35887,39910,39867,39275,39038,39502,40458,40865,41031
"대전","전체 산업","60세 이상",15336,15617,17632,20255,21421,22375,23856,26448,29694
"대전","농업, 임업 및 어업(01~03)","계",5,5,7,12,11,12,14,18,36
"대전","농업, 임업 및 어업(01~03)","29세 이하",-,-,-,-,-,-,-,-,1
"대전","농업, 임업 및 어업(01~03)","30~39세",-,-,1,1,1,3,5,4,5
"대전","농업, 임업 및 어업(01~03)","40~49세",-,-,1,1,1,1,2,3,11
"대전","농업, 임업 및 어업(01~03)","50~59세",4,4,3,6,6,6,5,8,8
"대전","농업, 임업 및 어업(01~03)","60세 이상",1,1,2,4,3,2,2,3,11
"대전","광업(05~08)","계",5,5,4,5,5,3,3,4,5
"대전","광업(05~08)","29세 이하",-,-,-,-,-,-,-,-,-
"대전","광업(05~08)","30~39세",2,2,2,-,1,1,-,1,1
"대전","광업(05~08)","40~49세",-,-,-,2,-,-,1,1,1
"대전","광업(05~08)","50~59세",3,2,1,2,3,1,-,-,1
"대전","광업(05~08)","60세 이상",-,1,1,1,1,1,2,2,2
"대전","제조업(10~34)","계",7145,7324,7667,8044,7992,8114,8220,8380,8647
"대전","제조업(10~34)","29세 이하",67,59,88,93,98,103,121,143,204
"대전","제조업(10~34)","30~39세",762,580,680,723,760,811,740,701,827
"대전","제조업(10~34)","40~49세",2402,2269,2310,2387,2353,2388,2280,2228,2164
"대전","제조업(10~34)","50~59세",2790,3244,3297,3311,3254,3191,3241,3252,3150
"대전","제조업(10~34)","60세 이상",1124,1172,1292,1530,1527,1621,1838,2056,2302
"대전","전기, 가스, 증기 및 공기조절 공급업(35)","계",12,16,20,24,24,39,39,60,80
"대전","전기, 가스, 증기 및 공기조절 공급업(35)","29세 이하",-,-,-,-,-,-,-,3,6
"대전","전기, 가스, 증기 및 공기조절 공급업(35)","30~39세",-,1,3,1,1,3,4,1,3
"대전","전기, 가스, 증기 및 공기조절 공급업(35)","40~49세",2,1,3,5,3,12,13,15,21
"대전","전기, 가스, 증기 및 공기조절 공급업(35)","50~59세",6,12,13,11,15,18,16,23,25
"대전","전기, 가스, 증기 및 공기조절 공급업(35)","60세 이상",4,2,1,7,5,6,6,18,25
"대전","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",138,136,147,137,147,138,135,141,157
"대전","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","29세 이하",2,3,3,2,1,1,1,1,2
"대전","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","30~39세",14,10,13,10,11,11,7,10,14
"대전","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","40~49세",35,32,36,32,36,36,30,25,33
