"행정구역별","산업별","종사상지위별",2020,2021,2022,2023
"대구","정보통신업(58~63)","기타종사자",191,213,96,151
"대구","금융 및 보험업(64~66)","계",32017,31732,32510,32373
"대구","금융 및 보험업(64~66)","자영업자,무급가족",977,914,822,881
"대구","금융 및 보험업(64~66)","상용종사자",17553,17586,17516,17669
"대구","금융 및 보험업(64~66)","임시 및 일용근로자",493,749,586,535
"대구","금융 및 보험업(64~66)","기타종사자",12994,12483,13586,13288
"대구","부동산업(68)","계",29296,30461,29852,28935
"대구","부동산업(68)","자영업자,무급가족",7325,7184,7017,6763
"대구","부동산업(68)","상용종사자",18863,20779,20063,19991
"대구","부동산업(68)","임시 및 일용근로자",1974,1318,1680,1141
"대구","부동산업(68)","기타종사자",1134,1180,1092,1040
"대구","전문, 과학 및 기술 서비스업(70~73)","계",34183,34582,34584,36467
"대구","전문, 과학 및 기술 서비스업(70~73)","자영업자,무급가족",6302,6142,6038,5983
"대구","전문, 과학 및 기술 서비스업(70~73)","상용종사자",25724,26897,26638,28792
"대구","전문, 과학 및 기술 서비스업(70~73)","임시 및 일용근로자",1908,1295,1369,1111
"대구","전문, 과학 및 기술 서비스업(70~73)","기타종사자",249,248,539,581
"대구","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",43863,43132,46305,45788
"대구","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","자영업자,무급가족",4623,4127,3869,3831
"대구","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","상용종사자",31936,30184,31669,34104
"대구","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","임시 및 일용근로자",6141,6581,8101,5934
"대구","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","기타종사자",1163,2240,2666,1919
"대구","공공행정, 국방 및 사회보장 행정(84)","계",31333,33157,33250,35600
"대구","공공행정, 국방 및 사회보장 행정(84)","자영업자,무급가족",0,0,0,0
"대구","공공행정, 국방 및 사회보장 행정(84)","상용종사자",28196,29853,29727,30541
"대구","공공행정, 국방 및 사회보장 행정(84)","임시 및 일용근로자",2992,3112,3251,4824
"대구","공공행정, 국방 및 사회보장 행정(84)","기타종사자",145,192,272,235
"대구","교육 서비스업(85)","계",80049,81948,83096,82152
"대구","교육 서비스업(85)","자영업자,무급가족",11327,11666,12053,12378
"대구","교육 서비스업(85)","상용종사자",56799,57012,58457,56525
"대구","교육 서비스업(85)","임시 및 일용근로자",8629,8563,7475,7731
"대구","교육 서비스업(85)","기타종사자",3294,4707,5111,5518
"대구","보건업 및 사회복지 서비스업(86~87)","계",112173,118579,124130,132104
"대구","보건업 및 사회복지 서비스업(86~87)","자영업자,무급가족",4499,4575,4787,4833
"대구","보건업 및 사회복지 서비스업(86~87)","상용종사자",92552,96898,99645,105757
"대구","보건업 및 사회복지 서비스업(86~87)","임시 및 일용근로자",13786,14820,15933,16884
"대구","보건업 및 사회복지 서비스업(86~87)","기타종사자",1336,2286,3765,4630
"대구","예술, 스포츠 및 여가관련 서비스업(90~91)","계",15475,15432,15637,16255
"대구","예술, 스포츠 및 여가관련 서비스업(90~91)","자영업자,무급가족",6754,6358,6295,6115
"대구","예술, 스포츠 및 여가관련 서비스업(90~91)","상용종사자",5746,6063,6113,6605
"대구","예술, 스포츠 및 여가관련 서비스업(90~91)","임시 및 일용근로자",2582,2347,2536,2731
"대구","예술, 스포츠 및 여가관련 서비스업(90~91)","기타종사자",393,664,693,804
"대구","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",42518,41372,41002,41550
"대구","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","자영업자,무급가족",21262,20567,20764,20950
"대구","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","상용종사자",17115,17416,17136,16719
"대구","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","임시 및 일용근로자",2708,1865,1775,1613
"대구","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","기타종사자",1433,1524,1327,2268
"인천","전체 산업","계",1208269,1223448,1250203,1258759
"인천","전체 산업","자영업자,무급가족",276956,273722,280788,280641
"인천","전체 산업","상용종사자",739704,776357,788301,796027
"인천","전체 산업","임시 및 일용근로자",154465,133701,135792,135782
"인천","전체 산업","기타종사자",37144,39668,45322,46309
"인천","농업, 임업 및 어업(01~03)","계",485,648,616,488
"인천","농업, 임업 및 어업(01~03)","자영업자,무급가족",0,0,0,0
"인천","농업, 임업 및 어업(01~03)","상용종사자",447,556,531,439
"인천","농업, 임업 및 어업(01~03)","임시 및 일용근로자",29,88,66,43
"인천","농업, 임업 및 어업(01~03)","기타종사자",9,4,19,6
"인천","광업(05~08)","계",567,510,431,437
"인천","광업(05~08)","자영업자,무급가족",17,10,9,10
"인천","광업(05~08)","상용종사자",530,462,403,412
"인천","광업(05~08)","임시 및 일용근로자",20,38,19,15
"인천","광업(05~08)","기타종사자",0,0,0,0
"인천","제조업(10~34)","계",253606,250357,252668,246065
"인천","제조업(10~34)","자영업자,무급가족",27483,25764,25702,22277
"인천","제조업(10~34)","상용종사자",213148,213534,216349,214060
"인천","제조업(10~34)","임시 및 일용근로자",11502,9457,9573,8888
"인천","제조업(10~34)","기타종사자",1473,1602,1044,840
"인천","전기, 가스, 증기 및 공기조절 공급업(35)","계",4403,4644,4486,4462
"인천","전기, 가스, 증기 및 공기조절 공급업(35)","자영업자,무급가족",368,363,331,406
"인천","전기, 가스, 증기 및 공기조절 공급업(35)","상용종사자",3987,4237,4138,4013
"인천","전기, 가스, 증기 및 공기조절 공급업(35)","임시 및 일용근로자",34,43,17,42
"인천","전기, 가스, 증기 및 공기조절 공급업(35)","기타종사자",14,1,0,1
"인천","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",7661,7859,7796,7695
"인천","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","자영업자,무급가족",309,302,352,323
"인천","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","상용종사자",7020,7257,7084,7085
"인천","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","임시 및 일용근로자",300,233,347,251
"인천","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","기타종사자",32,67,13,36
"인천","건설업(41~42)","계",92870,87370,84237,84452
"인천","건설업(41~42)","자영업자,무급가족",20628,21484,22045,21655
"인천","건설업(41~42)","상용종사자",33591,35188,34635,36229
"인천","건설업(41~42)","임시 및 일용근로자",37361,29082,26312,24015
"인천","건설업(41~42)","기타종사자",1290,1616,1245,2553
"인천","도매 및 소매업(45~47)","계",172776,173100,171500,174170
"인천","도매 및 소매업(45~47)","자영업자,무급가족",74077,73723,75125,77938
"인천","도매 및 소매업(45~47)","상용종사자",74578,78996,76417,76127
"인천","도매 및 소매업(45~47)","임시 및 일용근로자",19896,15008,14904,15049
"인천","도매 및 소매업(45~47)","기타종사자",4225,5373,5054,5056
"인천","운수 및 창고업(49~52)","계",96036,95243,97207,100101
"인천","운수 및 창고업(49~52)","자영업자,무급가족",35390,36235,38753,39961
"인천","운수 및 창고업(49~52)","상용종사자",50662,50627,50593,50686
"인천","운수 및 창고업(49~52)","임시 및 일용근로자",4566,2342,2254,2617
"인천","운수 및 창고업(49~52)","기타종사자",5418,6039,5607,6837
"인천","숙박 및 음식점업(55~56)","계",101750,103117,109781,114430
"인천","숙박 및 음식점업(55~56)","자영업자,무급가족",51224,49228,49936,48666
"인천","숙박 및 음식점업(55~56)","상용종사자",28583,31811,33945,37015
"인천","숙박 및 음식점업(55~56)","임시 및 일용근로자",21635,21764,25549,28313
"인천","숙박 및 음식점업(55~56)","기타종사자",308,314,351,436
"인천","정보통신업(58~63)","계",14027,14909,16435,15766
"인천","정보통신업(58~63)","자영업자,무급가족",2732,2995,3277,3663
"인천","정보통신업(58~63)","상용종사자",9916,10304,11669,10988
"인천","정보통신업(58~63)","임시 및 일용근로자",960,1173,1151,944
"인천","정보통신업(58~63)","기타종사자",419,437,338,171
"인천","금융 및 보험업(64~66)","계",24618,23957,23694,23536
"인천","금융 및 보험업(64~66)","자영업자,무급가족",912,781,735,753
"인천","금융 및 보험업(64~66)","상용종사자",13550,14428,13588,13317
"인천","금융 및 보험업(64~66)","임시 및 일용근로자",557,685,431,373
"인천","금융 및 보험업(64~66)","기타종사자",9599,8063,8940,9093
"인천","부동산업(68)","계",31465,32906,32522,32141
"인천","부동산업(68)","자영업자,무급가족",9249,9216,9509,9113
"인천","부동산업(68)","상용종사자",18819,21103,20541,20931
"인천","부동산업(68)","임시 및 일용근로자",2724,1720,1675,1328
"인천","부동산업(68)","기타종사자",673,867,797,769
"인천","전문, 과학 및 기술 서비스업(70~73)","계",41922,43353,43004,43550
"인천","전문, 과학 및 기술 서비스업(70~73)","자영업자,무급가족",6336,6501,6590,6603
"인천","전문, 과학 및 기술 서비스업(70~73)","상용종사자",31533,34567,34465,34628
"인천","전문, 과학 및 기술 서비스업(70~73)","임시 및 일용근로자",3591,1592,1654,2049
"인천","전문, 과학 및 기술 서비스업(70~73)","기타종사자",462,693,295,270
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",57530,64731,66073,66620
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","자영업자,무급가족",6353,5884,5655,5594
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","상용종사자",40350,48516,46121,49173
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","임시 및 일용근로자",8836,7876,11473,8561
"인천","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","기타종사자",1991,2455,2824,3292
"인천","공공행정, 국방 및 사회보장 행정(84)","계",40912,42352,44887,45320
"인천","공공행정, 국방 및 사회보장 행정(84)","자영업자,무급가족",0,0,0,0
"인천","공공행정, 국방 및 사회보장 행정(84)","상용종사자",37950,38693,42787,41600
"인천","공공행정, 국방 및 사회보장 행정(84)","임시 및 일용근로자",2931,3600,2043,3620
"인천","공공행정, 국방 및 사회보장 행정(84)","기타종사자",31,59,57,100
"인천","교육 서비스업(85)","계",77194,79359,82746,81747
"인천","교육 서비스업(85)","자영업자,무급가족",9796,10039,10775,11523
"인천","교육 서비스업(85)","상용종사자",54916,56808,58717,57131
"인천","교육 서비스업(85)","임시 및 일용근로자",9507,8741,8252,6954
"인천","교육 서비스업(85)","기타종사자",2975,3771,5002,6139
"인천","보건업 및 사회복지 서비스업(86~87)","계",125916,135496,145972,150562
"인천","보건업 및 사회복지 서비스업(86~87)","자영업자,무급가족",3906,3965,4307,4336
"인천","보건업 및 사회복지 서비스업(86~87)","상용종사자",93598,101003,107141,112625
"인천","보건업 및 사회복지 서비스업(86~87)","임시 및 일용근로자",22810,24950,23764,26694
"인천","보건업 및 사회복지 서비스업(86~87)","기타종사자",5602,5578,10760,6907
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)","계",19659,19310,21088,21528
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)","자영업자,무급가족",8197,7811,7887,7774
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)","상용종사자",6754,7569,8346,8933
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)","임시 및 일용근로자",3922,3007,3599,3421
"인천","예술, 스포츠 및 여가관련 서비스업(90~91)","기타종사자",786,923,1256,1400
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",44872,44227,45060,45689
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","자영업자,무급가족",19979,19421,19800,20046
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","상용종사자",19772,20698,20831,20635
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","임시 및 일용근로자",3284,2302,2709,2605
"인천","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","기타종사자",1837,1806,1720,2403
"광주","전체 산업","계",667435,676261,675251,678748
"광주","전체 산업","자영업자,무급가족",149142,147770,147362,147069
"광주","전체 산업","상용종사자",388083,411613,404951,410636
"광주","전체 산업","임시 및 일용근로자",105788,89478,94514,90280
"광주","전체 산업","기타종사자",24422,27400,28424,30763
"광주","농업, 임업 및 어업(01~03)","계",512,441,514,517
"광주","농업, 임업 및 어업(01~03)","자영업자,무급가족",0,0,0,0
"광주","농업, 임업 및 어업(01~03)","상용종사자",420,379,435,484
"광주","농업, 임업 및 어업(01~03)","임시 및 일용근로자",91,62,79,32
"광주","농업, 임업 및 어업(01~03)","기타종사자",1,0,0,1
"광주","광업(05~08)","계",38,40,31,33
"광주","광업(05~08)","자영업자,무급가족",0,0,0,1
"광주","광업(05~08)","상용종사자",38,36,22,27
"광주","광업(05~08)","임시 및 일용근로자",0,3,9,5
"광주","광업(05~08)","기타종사자",0,1,0,0
"광주","제조업(10~34)","계",88160,87325,88914,82335
"광주","제조업(10~34)","자영업자,무급가족",9852,9170,9002,7946
"광주","제조업(10~34)","상용종사자",73790,73598,75555,71453
"광주","제조업(10~34)","임시 및 일용근로자",4067,4056,4241,2891
"광주","제조업(10~34)","기타종사자",451,501,116,45
"광주","전기, 가스, 증기 및 공기조절 공급업(35)","계",3027,3243,2965,3354
"광주","전기, 가스, 증기 및 공기조절 공급업(35)","자영업자,무급가족",1082,1103,953,1235
"광주","전기, 가스, 증기 및 공기조절 공급업(35)","상용종사자",1823,2035,1949,2036
"광주","전기, 가스, 증기 및 공기조절 공급업(35)","임시 및 일용근로자",118,86,63,56
"광주","전기, 가스, 증기 및 공기조절 공급업(35)","기타종사자",4,19,0,27
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",2535,2628,2489,2765
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","자영업자,무급가족",106,90,100,99
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","상용종사자",1986,2299,2202,2398
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","임시 및 일용근로자",438,236,187,169
"광주","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","기타종사자",5,3,0,99
"광주","건설업(41~42)","계",81661,75298,73411,72871
"광주","건설업(41~42)","자영업자,무급가족",11289,11873,12134,11955
"광주","건설업(41~42)","상용종사자",31320,31989,31780,30239
"광주","건설업(41~42)","임시 및 일용근로자",38672,30621,28419,29261
"광주","건설업(41~42)","기타종사자",380,815,1078,1416
"광주","도매 및 소매업(45~47)","계",96162,96138,92610,91836
"광주","도매 및 소매업(45~47)","자영업자,무급가족",42007,40708,39968,40141
"광주","도매 및 소매업(45~47)","상용종사자",40807,44232,41560,41164
"광주","도매 및 소매업(45~47)","임시 및 일용근로자",10237,7950,8022,7519
"광주","도매 및 소매업(45~47)","기타종사자",3111,3248,3060,3012
"광주","운수 및 창고업(49~52)","계",34924,37571,36816,38656
"광주","운수 및 창고업(49~52)","자영업자,무급가족",16527,18123,18582,19250
"광주","운수 및 창고업(49~52)","상용종사자",15090,14934,13481,13893
"광주","운수 및 창고업(49~52)","임시 및 일용근로자",828,592,478,699
"광주","운수 및 창고업(49~52)","기타종사자",2479,3922,4275,4814
"광주","숙박 및 음식점업(55~56)","계",54897,55002,57182,59294
"광주","숙박 및 음식점업(55~56)","자영업자,무급가족",28047,26992,26602,26218
"광주","숙박 및 음식점업(55~56)","상용종사자",13467,14208,14752,16027
"광주","숙박 및 음식점업(55~56)","임시 및 일용근로자",13279,13704,15734,16881
"광주","숙박 및 음식점업(55~56)","기타종사자",104,98,94,168
"광주","정보통신업(58~63)","계",10702,12868,12901,10619
"광주","정보통신업(58~63)","자영업자,무급가족",931,997,1080,1111
"광주","정보통신업(58~63)","상용종사자",9166,11087,11058,8792
"광주","정보통신업(58~63)","임시 및 일용근로자",440,678,580,488
"광주","정보통신업(58~63)","기타종사자",165,106,183,228
"광주","금융 및 보험업(64~66)","계",21968,22749,21192,21831
"광주","금융 및 보험업(64~66)","자영업자,무급가족",608,617,617,626
"광주","금융 및 보험업(64~66)","상용종사자",11355,12059,11348,11624
"광주","금융 및 보험업(64~66)","임시 및 일용근로자",470,199,281,534
"광주","금융 및 보험업(64~66)","기타종사자",9535,9874,8946,9047
"광주","부동산업(68)","계",24020,25559,25315,22009
"광주","부동산업(68)","자영업자,무급가족",4475,4480,4432,4226
"광주","부동산업(68)","상용종사자",14678,17729,17650,16664
"광주","부동산업(68)","임시 및 일용근로자",4271,2801,2856,724
"광주","부동산업(68)","기타종사자",596,549,377,395
"광주","전문, 과학 및 기술 서비스업(70~73)","계",23673,24650,25131,29279
"광주","전문, 과학 및 기술 서비스업(70~73)","자영업자,무급가족",3890,3964,4062,4096
"광주","전문, 과학 및 기술 서비스업(70~73)","상용종사자",17293,18825,18952,22546
"광주","전문, 과학 및 기술 서비스업(70~73)","임시 및 일용근로자",2175,1633,1929,2344
"광주","전문, 과학 및 기술 서비스업(70~73)","기타종사자",315,228,188,293
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",30783,31891,30840,33069
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","자영업자,무급가족",2822,2688,2668,2550
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","상용종사자",18073,22442,21331,24469
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","임시 및 일용근로자",8667,5271,5111,4460
"광주","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","기타종사자",1221,1490,1730,1590
"광주","공공행정, 국방 및 사회보장 행정(84)","계",19744,22462,22892,23161
"광주","공공행정, 국방 및 사회보장 행정(84)","자영업자,무급가족",0,0,0,0
"광주","공공행정, 국방 및 사회보장 행정(84)","상용종사자",18598,20013,21095,21973
"광주","공공행정, 국방 및 사회보장 행정(84)","임시 및 일용근로자",1043,2429,1723,1133
"광주","공공행정, 국방 및 사회보장 행정(84)","기타종사자",103,20,74,55
"광주","교육 서비스업(85)","계",51744,51491,51760,52509
"광주","교육 서비스업(85)","자영업자,무급가족",6902,6891,6986,7179
"광주","교육 서비스업(85)","상용종사자",38029,39302,36720,37459
"광주","교육 서비스업(85)","임시 및 일용근로자",4748,3476,4393,4498
"광주","교육 서비스업(85)","기타종사자",2065,1822,3661,3373
"광주","보건업 및 사회복지 서비스업(86~87)","계",81697,87414,90482,93458
"광주","보건업 및 사회복지 서비스업(86~87)","자영업자,무급가족",2724,2724,2894,2820
"광주","보건업 및 사회복지 서비스업(86~87)","상용종사자",64917,69120,67919,71598
"광주","보건업 및 사회복지 서비스업(86~87)","임시 및 일용근로자",11786,12502,16905,14863
"광주","보건업 및 사회복지 서비스업(86~87)","기타종사자",2270,3068,2764,4177
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)","계",12678,11555,11332,11758
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)","자영업자,무급가족",4673,4460,4260,4142
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)","상용종사자",4771,4698,4768,5071
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)","임시 및 일용근로자",2574,1921,1892,1951
"광주","예술, 스포츠 및 여가관련 서비스업(90~91)","기타종사자",660,476,412,594
"광주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",28510,27936,28474,29394
"광주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","자영업자,무급가족",13207,12890,13022,13474
"광주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","상용종사자",12462,12628,12374,12719
"광주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","임시 및 일용근로자",1884,1258,1612,1772
"광주","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","기타종사자",957,1160,1466,1429
"대전","전체 산업","계",691264,688457,695570,709610
"대전","전체 산업","자영업자,무급가족",148325,145401,145675,146591
"대전","전체 산업","상용종사자",423869,437993,442360,453491
"대전","전체 산업","임시 및 일용근로자",88753,80166,84568,85143
"대전","전체 산업","기타종사자",30317,24897,22967,24385
"대전","농업, 임업 및 어업(01~03)","계",504,403,327,220
"대전","농업, 임업 및 어업(01~03)","자영업자,무급가족",0,0,0,0
"대전","농업, 임업 및 어업(01~03)","상용종사자",325,351,308,177
"대전","농업, 임업 및 어업(01~03)","임시 및 일용근로자",179,51,19,42
"대전","농업, 임업 및 어업(01~03)","기타종사자",0,1,0,1
"대전","광업(05~08)","계",19,27,23,23
"대전","광업(05~08)","자영업자,무급가족",1,1,1,1
"대전","광업(05~08)","상용종사자",18,20,17,22
"대전","광업(05~08)","임시 및 일용근로자",0,6,5,0
"대전","광업(05~08)","기타종사자",0,0,0,0
"대전","제조업(10~34)","계",67835,67179,69175,66422
"대전","제조업(10~34)","자영업자,무급가족",9897,9338,9196,8188
"대전","제조업(10~34)","상용종사자",54476,54722,56986,55795
"대전","제조업(10~34)","임시 및 일용근로자",3119,2881,2730,2336
"대전","제조업(10~34)","기타종사자",343,238,263,103
"대전","전기, 가스, 증기 및 공기조절 공급업(35)","계",2064,2187,2008,2012
"대전","전기, 가스, 증기 및 공기조절 공급업(35)","자영업자,무급가족",276,289,258,346
"대전","전기, 가스, 증기 및 공기조절 공급업(35)","상용종사자",1764,1785,1734,1651
"대전","전기, 가스, 증기 및 공기조절 공급업(35)","임시 및 일용근로자",24,109,16,15
"대전","전기, 가스, 증기 및 공기조절 공급업(35)","기타종사자",0,4,0,0
"대전","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","계",4142,4596,4356,4148
"대전","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","자영업자,무급가족",80,91,93,92
"대전","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","상용종사자",3891,3789,3696,3928
"대전","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","임시 및 일용근로자",168,714,567,101
"대전","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","기타종사자",3,2,0,27
"대전","건설업(41~42)","계",62947,60430,60042,66251
"대전","건설업(41~42)","자영업자,무급가족",10458,10642,10933,10993
"대전","건설업(41~42)","상용종사자",24916,24932,26145,29677
"대전","건설업(41~42)","임시 및 일용근로자",26242,23622,22329,25107
"대전","건설업(41~42)","기타종사자",1331,1234,635,474
"대전","도매 및 소매업(45~47)","계",105502,100570,98226,97798
"대전","도매 및 소매업(45~47)","자영업자,무급가족",43698,42209,41741,42990
"대전","도매 및 소매업(45~47)","상용종사자",42068,45740,44385,43211
"대전","도매 및 소매업(45~47)","임시 및 일용근로자",10377,7993,8646,8869
"대전","도매 및 소매업(45~47)","기타종사자",9359,4628,3454,2728
"대전","운수 및 창고업(49~52)","계",34809,34615,34980,34627
"대전","운수 및 창고업(49~52)","자영업자,무급가족",16203,17358,17729,17623
"대전","운수 및 창고업(49~52)","상용종사자",14995,13309,13729,13354
"대전","운수 및 창고업(49~52)","임시 및 일용근로자",1161,743,799,726
"대전","운수 및 창고업(49~52)","기타종사자",2450,3205,2723,2924
"대전","숙박 및 음식점업(55~56)","계",58359,58203,61195,65259
"대전","숙박 및 음식점업(55~56)","자영업자,무급가족",29425,27815,27684,27559
"대전","숙박 및 음식점업(55~56)","상용종사자",15373,16990,18344,20258
"대전","숙박 및 음식점업(55~56)","임시 및 일용근로자",13467,13287,15071,17269
"대전","숙박 및 음식점업(55~56)","기타종사자",94,111,96,173
"대전","정보통신업(58~63)","계",18869,20059,21072,21980
"대전","정보통신업(58~63)","자영업자,무급가족",1372,1428,1630,1703
"대전","정보통신업(58~63)","상용종사자",16383,17213,17834,19085
"대전","정보통신업(58~63)","임시 및 일용근로자",893,1151,1186,974
"대전","정보통신업(58~63)","기타종사자",221,267,422,218
"대전","금융 및 보험업(64~66)","계",19890,19781,19116,19718
"대전","금융 및 보험업(64~66)","자영업자,무급가족",451,394,334,353
"대전","금융 및 보험업(64~66)","상용종사자",11679,11733,11271,11168
"대전","금융 및 보험업(64~66)","임시 및 일용근로자",425,335,408,286
"대전","금융 및 보험업(64~66)","기타종사자",7335,7319,7103,7911
"대전","부동산업(68)","계",18133,18629,18164,17336
"대전","부동산업(68)","자영업자,무급가족",4171,4249,4197,4137
"대전","부동산업(68)","상용종사자",11936,12938,12386,12013
"대전","부동산업(68)","임시 및 일용근로자",1334,775,717,565
"대전","부동산업(68)","기타종사자",692,667,864,621
"대전","전문, 과학 및 기술 서비스업(70~73)","계",55839,57526,59261,61529
"대전","전문, 과학 및 기술 서비스업(70~73)","자영업자,무급가족",3727,3700,3654,3747
"대전","전문, 과학 및 기술 서비스업(70~73)","상용종사자",48550,51247,52324,54205
"대전","전문, 과학 및 기술 서비스업(70~73)","임시 및 일용근로자",3343,2332,3028,3400
"대전","전문, 과학 및 기술 서비스업(70~73)","기타종사자",219,247,255,177
"대전","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",42851,44752,44852,47028
"대전","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","자영업자,무급가족",3018,2845,2727,2809
"대전","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","상용종사자",31856,33568,33829,35797
"대전","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","임시 및 일용근로자",6794,6856,7129,6705
"대전","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","기타종사자",1183,1483,1167,1717
"대전","공공행정, 국방 및 사회보장 행정(84)","계",28594,29323,29461,28132
"대전","공공행정, 국방 및 사회보장 행정(84)","자영업자,무급가족",0,0,0,0
"대전","공공행정, 국방 및 사회보장 행정(84)","상용종사자",26699,26506,27510,25499
"대전","공공행정, 국방 및 사회보장 행정(84)","임시 및 일용근로자",1889,2811,1949,2625
"대전","공공행정, 국방 및 사회보장 행정(84)","기타종사자",6,6,2,8
"대전","교육 서비스업(85)","계",57803,58903,58902,58946
"대전","교육 서비스업(85)","자영업자,무급가족",6128,6277,6468,6796
"대전","교육 서비스업(85)","상용종사자",43267,44840,42809,44894
"대전","교육 서비스업(85)","임시 및 일용근로자",5507,5261,7126,4548
"대전","교육 서비스업(85)","기타종사자",2901,2525,2499,2708
"대전","보건업 및 사회복지 서비스업(86~87)","계",73513,73371,75912,78629
"대전","보건업 및 사회복지 서비스업(86~87)","자영업자,무급가족",2645,2658,2719,2719
"대전","보건업 및 사회복지 서비스업(86~87)","상용종사자",58703,60824,61409,65094
"대전","보건업 및 사회복지 서비스업(86~87)","임시 및 일용근로자",9476,8291,9762,8375
"대전","보건업 및 사회복지 서비스업(86~87)","기타종사자",2689,1598,2022,2441
"대전","예술, 스포츠 및 여가관련 서비스업(90~91)","계",11167,10681,11148,11423
"대전","예술, 스포츠 및 여가관련 서비스업(90~91)","자영업자,무급가족",4455,4169,4196,4163
"대전","예술, 스포츠 및 여가관련 서비스업(90~91)","상용종사자",3909,4389,4376,4438
"대전","예술, 스포츠 및 여가관련 서비스업(90~91)","임시 및 일용근로자",2276,1674,1860,1919
"대전","예술, 스포츠 및 여가관련 서비스업(90~91)","기타종사자",527,449,716,903
"대전","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",28424,27222,27350,28129
"대전","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","자영업자,무급가족",12320,11938,12115,12372
"대전","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","상용종사자",13061,13097,13268,13225
"대전","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","임시 및 일용근로자",2079,1274,1221,1281
"대전","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","기타종사자",964,913,746,1251
"울산","전체 산업","계",543424,543984,547780,551628
"울산","전체 산업","자영업자,무급가족",108760,104074,103268,102843
"울산","전체 산업","상용종사자",357353,366461,368990,373144
"울산","전체 산업","임시 및 일용근로자",63177,55013,58061,56510
"울산","전체 산업","기타종사자",14134,18436,17461,19131
"울산","농업, 임업 및 어업(01~03)","계",386,404,496,472
"울산","농업, 임업 및 어업(01~03)","자영업자,무급가족",0,0,0,0
"울산","농업, 임업 및 어업(01~03)","상용종사자",286,334,352,336
"울산","농업, 임업 및 어업(01~03)","임시 및 일용근로자",89,69,131,110
